xc_id,common_name,scientific_name,country,lat,lng,duration,recordist,license,file_path,dominant_freq_hz,librosa_tempo_raw,silence_ratio,usable,onset_interval_ms,onset_density
27287,Common Nightingale,Luscinia megarhynchos,Austria,47.7842,16.9417,126,Patrik Åberg,https://creativecommons.org/licenses/by-nc-sa/3.0/,data/prototype/raw/Common Nightingale/XC27287.mp3,5405.590862287381,132.51201923076923,0.7117257857011579,True,162.53968253968054,3.530487489660877
27288,Common Nightingale,Luscinia megarhynchos,Sweden,59.6881,17.7223,180,Patrik Åberg,https://creativecommons.org/licenses/by-nc-sa/3.0/,data/prototype/raw/Common Nightingale/XC27288.mp3,4586.116441094092,109.9567819148936,0.3041803120785976,True,185.75963718821242,1.6316961060540385
29724,Common Nightingale,Luscinia megarhynchos,Switzerland,46.9676,7.0342,120,Mathias Ritschard,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC29724.mp3,2910.1282167975937,160.71428571428572,0.7194766156838476,True,162.53968253967344,3.1579463734955113
29725,Common Nightingale,Luscinia megarhynchos,Switzerland,46.9676,7.0342,41,Mathias Ritschard,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC29725.mp3,3561.6543184223096,119.6808510638298,0.5336059289547662,True,139.31972789115622,5.798350282903337
29762,Common Nightingale,Luscinia megarhynchos,Switzerland,46.9676,7.0342,136,Mathias Ritschard,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC29762.mp3,3251.211943618126,187.5,0.6309310479158551,True,162.53968253968054,3.506311128131753
30184,Common Nightingale,Luscinia megarhynchos,Switzerland,47.0167,7.2014,175,Mathias Ritschard,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC30184.mp3,3846.22339582559,156.25,0.5058436815193572,True,139.31972789115633,4.965072249585241
33394,Common Nightingale,Luscinia megarhynchos,Netherlands,52.2634,5.0445,132,Rombout de Wijs,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC33394.mp3,4317.699834481942,117.45383522727272,0.550329091706889,True,139.31972789116287,3.258139563586098
34041,Common Nightingale,Luscinia megarhynchos,Luxembourg,49.487,6.3606,34,Marc Schweitzer,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC34041.mp3,4139.417092140775,166.70866935483872,0.0256069171932158,True,139.31972789115576,3.610357410179641
34110,Common Nightingale,Luscinia megarhynchos,Czech Republic,49.4556,17.4501,60,Zdeněk Vermouzek,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC34110.mp3,2883.224435925331,151.99908088235293,0.6482878699941962,True,162.5396825396841,2.683187309534175
34682,Common Nightingale,Luscinia megarhynchos,Netherlands,52.2537,5.4059,119,Ruud van Beusekom,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC34682.mp3,4475.533482756848,120.18531976744184,0.4711547815935402,True,139.31972789115665,3.5951524190017516
35095,Common Nightingale,Luscinia megarhynchos,Spain,41.5564,1.8551,23,Jordi Calvet,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC35095.mp3,2798.0536233914854,105.46875,0.7686196623634558,True,185.75963718820887,2.651885474860335
52377,Common Nightingale,Luscinia megarhynchos,Switzerland,47.5006,8.4834,70,David Marques,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC52377.mp3,3931.62598315068,206.71875,0.6153846153846154,True,139.31972789115576,3.3770523160872115
52381,Common Nightingale,Luscinia megarhynchos,Switzerland,47.5006,8.4834,95,David Marques,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC52381.mp3,4026.2820104914726,215.33203125,0.7213554363725012,True,139.31972789115932,2.0999510011433067
52382,Common Nightingale,Luscinia megarhynchos,Switzerland,47.5006,8.4834,99,David Marques,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC52382.mp3,4035.759888442887,109.9567819148936,0.6067875950848449,True,162.53968253968054,3.0846040892159317
54742,Common Nightingale,Luscinia megarhynchos,France,43.801,3.823,30,manuel Grosselet,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC54742.mp3,4114.997275306058,143.5546875,0.6042471042471043,True,139.31972789115576,4.689536272806255
55190,Common Nightingale,Luscinia megarhynchos,France,43.782,3.81,20,GROSSELET Olivier,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC55190.mp3,3828.936246117853,172.265625,0.560200668896321,True,139.31972789115665,4.755136449184441
56250,Common Nightingale,Luscinia megarhynchos,Switzerland,47.488,8.468,108,David Marques,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC56250.mp3,4096.98905219536,147.65625,0.6192670381483069,True,162.53968253968765,3.470753248232033
61905,Common Nightingale,Luscinia megarhynchos,Netherlands,52.1348,4.3331,73,Erik Eggenkamp,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC61905.mp3,3637.016171356815,147.65625,0.6986906452121786,True,208.97959183672654,1.6714922790202342
62086,Common Nightingale,Luscinia megarhynchos,Netherlands,52.431,4.588,50,Erik Eggenkamp,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC62086.mp3,3788.546313870677,126.04801829268293,0.6279388267518832,True,162.53968253968054,4.030640087313817
62087,Common Nightingale,Luscinia megarhynchos,Netherlands,52.431,4.588,42,Erik Eggenkamp,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC62087.mp3,4155.065926402073,120.18531976744184,0.7260087241003271,True,162.53968253968253,4.297833588957055
74636,Common Nightingale,Luscinia megarhynchos,Turkey,41.0,41.0,93,Tomas Belka,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC74636.mp3,3879.905927469636,160.71428571428572,0.3248487615568999,True,162.5396825396823,3.4671594839007756
76052,Common Nightingale,Luscinia megarhynchos,Spain,41.572,1.854,120,Jordi Calvet,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC76052.mp3,3926.5537987679527,175.78125,0.439285398425754,True,162.53968253968765,4.262023217247098
76225,Common Nightingale,Luscinia megarhynchos,Germany,49.6001,8.4667,110,Claus Fischer,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC76225.mp3,3107.233488129705,109.9567819148936,0.0511877233550557,True,139.31972789116287,3.0874896523178808
76226,Common Nightingale,Luscinia megarhynchos,Germany,49.6001,8.4667,153,Claus Fischer,https://creativecommons.org/licenses/by-nc-nd/2.5/,data/prototype/raw/Common Nightingale/XC76226.mp3,3169.960031510376,143.5546875,0.0013604413876502,True,162.53968253968054,3.26171875
